created_at,Instrument,GV1_DATE,expected_tp,Pcase,GEN_VAL3,4.5,4.75,5.0,5.25,5.5,4.25,datehour,date
2024-05-01 23:00:07.299243,USIRP25F2=R,2024-06-12,5.3525,8.484,5.375,,,0.0,8.9,91.1,,2024-05-01_23,2024-05-01
2024-05-01 23:00:07.299243,USIRP25F3=R,2024-07-31,5.3125,16.0,5.375,,0.0,1.5,22.0,76.5,,2024-05-01_23,2024-05-01
2024-05-01 23:00:07.299243,USIRP25F4=R,2024-09-18,5.2325,32.0,5.375,0.0,0.5,8.0,39.5,52.0,,2024-05-01_23,2024-05-01
2024-05-01 23:00:07.299243,USIRP25F5=R,2024-11-07,5.1738,23.480000000000004,5.375,0.1,2.3,15.4,42.4,39.8,,2024-05-01_23,2024-05-01
2024-05-01 23:00:07.299243,USIRP25F6=R,2024-12-18,5.0694,41.75999999999999,5.375,1.0,7.8,26.7,41.3,23.2,,2024-05-01_23,2024-05-01
2024-05-02 23:00:06.024775,USIRP25F1=R,2024-06-12,5.3488,,5.375,,,,10.5,89.5,,2024-05-02_23,2024-05-02
2024-05-02 23:00:06.024775,USIRP25F2=R,2024-07-31,5.2938,22.0,5.375,,,2.3,27.9,69.8,,2024-05-02_23,2024-05-02
2024-05-02 23:00:06.024775,USIRP25F3=R,2024-09-18,5.1988,37.98,5.375,,0.9,12.0,43.8,43.3,,2024-05-02_23,2024-05-02
2024-05-02 23:00:06.024775,USIRP25F4=R,2024-11-07,5.1205,31.319999999999997,5.375,0.3,4.4,22.0,43.6,29.7,,2024-05-02_23,2024-05-02
2024-05-02 23:00:06.024775,USIRP25F5=R,2024-12-18,5.0091,44.56000000000002,5.375,2.1,12.2,31.6,37.4,16.5,0.1,2024-05-02_23,2024-05-02
2024-05-03 18:00:06.218846,USIRP25F1=R,2024-06-12,5.3375,,5.375,,,,15.0,85.0,,2024-05-03_18,2024-05-03
2024-05-03 18:00:06.218846,USIRP25F2=R,2024-07-31,5.2775,24.0,5.375,,,3.6,31.8,64.6,,2024-05-03_18,2024-05-03
2024-05-03 18:00:06.218846,USIRP25F3=R,2024-09-18,5.1775,40.0,5.375,,1.4,14.9,44.9,38.8,,2024-05-03_18,2024-05-03
2024-05-03 18:00:06.218846,USIRP25F4=R,2024-11-07,5.0993,31.28,5.375,0.5,5.6,24.3,43.0,26.6,,2024-05-03_18,2024-05-03
2024-05-03 18:00:06.218846,USIRP25F5=R,2024-12-18,4.9699,51.76,5.375,3.1,15.3,34.0,34.5,12.8,0.2,2024-05-03_18,2024-05-03
2024-05-07 23:00:05.413744,USIRP25F1=R,2024-06-12,5.3375,,5.375,,,,15.0,85.0,,2024-05-07_23,2024-05-07
2024-05-07 23:00:05.413744,USIRP25F2=R,2024-07-31,5.2825,22.0,5.375,,,3.3,30.4,66.3,,2024-05-07_23,2024-05-07
2024-05-07 23:00:05.413744,USIRP25F3=R,2024-09-18,5.1525,52.0,5.375,,1.7,17.4,49.1,31.8,,2024-05-07_23,2024-05-07
2024-05-07 23:00:05.413744,USIRP25F4=R,2024-11-07,5.0547,39.120000000000005,5.375,0.7,7.8,29.8,42.3,19.4,,2024-05-07_23,2024-05-07
2024-05-07 23:00:05.413744,USIRP25F5=R,2024-12-18,4.9184,54.51999999999998,5.375,4.6,19.8,36.6,29.8,8.8,0.4,2024-05-07_23,2024-05-07
2024-05-08 17:00:05.870839,USIRP25F1=R,2024-06-12,5.35,,5.375,,,,10.0,90.0,,2024-05-08_17,2024-05-08
2024-05-08 17:00:05.870839,USIRP25F2=R,2024-07-31,5.295,22.0,5.375,,,2.2,27.6,70.2,,2024-05-08_17,2024-05-08
2024-05-08 17:00:05.870839,USIRP25F3=R,2024-09-18,5.17,50.0,5.375,,1.1,14.9,48.9,35.1,,2024-05-08_17,2024-05-08
2024-05-08 17:00:05.870839,USIRP25F4=R,2024-11-07,5.082,35.2,5.375,0.4,6.0,26.9,44.0,22.7,,2024-05-08_17,2024-05-08
2024-05-08 17:00:05.870839,USIRP25F5=R,2024-12-18,4.9462,54.320000000000014,5.375,3.4,17.3,36.2,32.5,10.4,0.2,2024-05-08_17,2024-05-08
2024-05-09 23:00:07.498744,USIRP25F1=R,2024-06-12,5.35,,5.375,,,,10.0,90.0,,2024-05-09_23,2024-05-09
2024-05-09 23:00:07.498744,USIRP25F2=R,2024-07-31,5.285,26.0,5.375,,,2.6,30.8,66.6,,2024-05-09_23,2024-05-09
2024-05-09 23:00:07.498744,USIRP25F3=R,2024-09-18,5.155,52.0,5.375,,1.4,17.3,49.4,32.0,,2024-05-09_23,2024-05-09
2024-05-09 23:00:07.498744,USIRP25F4=R,2024-11-07,5.0637,36.52,5.375,0.5,7.2,29.0,43.0,20.3,,2024-05-09_23,2024-05-09
2024-05-09 23:00:07.498744,USIRP25F5=R,2024-12-18,4.9119,60.72000000000002,5.375,4.5,20.4,37.5,29.2,8.0,0.3,2024-05-09_23,2024-05-09
2024-05-10 23:00:06.390600,USIRP25F1=R,2024-06-12,5.3625,,5.375,,,,5.0,95.0,,2024-05-10_23,2024-05-10
2024-05-10 23:00:06.390600,USIRP25F2=R,2024-07-31,5.3075,22.0,5.375,,,1.1,24.8,74.1,,2024-05-10_23,2024-05-10
2024-05-10 23:00:06.390600,USIRP25F3=R,2024-09-18,5.1825,50.0,5.375,,0.6,13.0,49.5,37.0,,2024-05-10_23,2024-05-10
2024-05-10 23:00:06.390600,USIRP25F4=R,2024-11-07,5.0978,33.879999999999995,5.375,0.2,4.8,25.3,45.2,24.5,,2024-05-10_23,2024-05-10
2024-05-10 23:00:06.390600,USIRP25F5=R,2024-12-18,4.9542,57.440000000000005,5.375,2.8,16.6,36.8,33.3,10.4,0.1,2024-05-10_23,2024-05-10
2024-05-11 23:00:06.388358,USIRP25F1=R,2024-06-12,5.3625,,5.375,,,,5.0,95.0,,2024-05-11_23,2024-05-11
2024-05-11 23:00:06.388358,USIRP25F2=R,2024-07-31,5.3075,22.0,5.375,,,1.1,24.8,74.1,,2024-05-11_23,2024-05-11
2024-05-11 23:00:06.388358,USIRP25F3=R,2024-09-18,5.1875,48.0,5.375,,0.5,12.5,48.5,38.5,,2024-05-11_23,2024-05-11
2024-05-11 23:00:06.388358,USIRP25F4=R,2024-11-07,5.0995,35.2,5.375,0.2,4.7,25.1,45.0,25.0,,2024-05-11_23,2024-05-11
2024-05-11 23:00:06.388358,USIRP25F5=R,2024-12-18,4.9696,51.96,5.375,2.5,15.3,35.4,34.6,12.0,0.1,2024-05-11_23,2024-05-11
2024-05-12 23:00:05.280678,USIRP25F1=R,2024-06-12,5.3625,,5.375,,,,5.0,95.0,,2024-05-12_23,2024-05-12
2024-05-12 23:00:05.280678,USIRP25F2=R,2024-07-31,5.3075,22.0,5.375,,,1.1,24.8,74.1,,2024-05-12_23,2024-05-12
2024-05-12 23:00:05.280678,USIRP25F3=R,2024-09-18,5.1875,48.0,5.375,,0.5,12.5,48.5,38.5,,2024-05-12_23,2024-05-12
2024-05-12 23:00:05.280678,USIRP25F4=R,2024-11-07,5.0995,35.2,5.375,0.2,4.7,25.1,45.0,25.0,,2024-05-12_23,2024-05-12
2024-05-12 23:00:05.280678,USIRP25F5=R,2024-12-18,4.9696,51.96,5.375,2.5,15.3,35.4,34.6,12.0,0.1,2024-05-12_23,2024-05-12
2024-05-13 23:00:06.408426,USIRP25F1=R,2024-06-12,5.35,,5.375,,,,10.0,90.0,,2024-05-13_23,2024-05-13
2024-05-13 23:00:06.408426,USIRP25F2=R,2024-07-31,5.295,22.0,5.375,,,2.2,27.6,70.2,,2024-05-13_23,2024-05-13
2024-05-13 23:00:06.408426,USIRP25F3=R,2024-09-18,5.17,50.0,5.375,,1.1,14.9,48.9,35.1,,2024-05-13_23,2024-05-13
2024-05-13 23:00:06.408426,USIRP25F4=R,2024-11-07,5.0787,36.52,5.375,0.4,6.1,27.3,43.9,22.3,,2024-05-13_23,2024-05-13
2024-05-13 23:00:06.408426,USIRP25F5=R,2024-12-18,4.9388,55.96,5.375,3.6,18.0,36.6,31.8,9.8,0.2,2024-05-13_23,2024-05-13
2024-05-14 14:00:05.865979,USIRP25F1=R,2024-06-12,5.3625,,5.375,,,,5.0,95.0,,2024-05-14_14,2024-05-14
2024-05-14 14:00:05.865979,USIRP25F2=R,2024-07-31,5.3075,22.0,5.375,,,1.1,24.8,74.1,,2024-05-14_14,2024-05-14
2024-05-14 14:00:05.865979,USIRP25F3=R,2024-09-18,5.1875,48.0,5.375,,0.5,12.5,48.5,38.5,,2024-05-14_14,2024-05-14
2024-05-14 14:00:05.865979,USIRP25F4=R,2024-11-07,5.0962,36.52,5.375,0.2,4.9,25.6,44.8,24.5,,2024-05-14_14,2024-05-14
2024-05-14 14:00:05.865979,USIRP25F5=R,2024-12-18,4.9682,51.2,5.375,2.6,15.5,35.5,34.4,11.9,0.1,2024-05-14_14,2024-05-14
2024-05-15 18:00:06.371190,USIRP25F1=R,2024-06-12,5.35,,5.375,,,,10.0,90.0,,2024-05-15_18,2024-05-15
2024-05-15 18:00:06.371190,USIRP25F2=R,2024-07-31,5.29,24.0,5.375,,,2.4,29.2,68.4,,2024-05-15_18,2024-05-15
2024-05-15 18:00:06.371190,USIRP25F3=R,2024-09-18,5.16,52.0,5.375,,1.2,16.3,49.6,32.8,,2024-05-15_18,2024-05-15
2024-05-15 18:00:06.371190,USIRP25F4=R,2024-11-07,5.0687,36.52,5.375,0.5,6.8,28.5,43.5,20.8,,2024-05-15_18,2024-05-15
2024-05-15 18:00:06.371190,USIRP25F5=R,2024-12-18,4.9288,55.96,5.375,4.0,18.9,36.9,30.8,9.2,0.3,2024-05-15_18,2024-05-15
2024-05-16 10:05:29.084183,USIRP25F1=R,2024-06-12,5.3625,,5.375,,,,5.0,95.0,,2024-05-16_10,2024-05-16
2024-05-16 10:05:29.084183,USIRP25F2=R,2024-07-31,5.2875,30.0,5.375,,,1.5,32.0,66.5,,2024-05-16_10,2024-05-16
2024-05-16 10:05:29.084183,USIRP25F3=R,2024-09-18,5.1325,62.0,5.375,,0.9,20.4,53.4,25.3,,2024-05-16_10,2024-05-16
2024-05-16 10:05:29.084183,USIRP25F4=R,2024-11-07,5.0315,40.400000000000006,5.375,0.4,8.8,33.7,42.0,15.1,,2024-05-16_10,2024-05-16
2024-05-16 10:05:29.084183,USIRP25F5=R,2024-12-18,4.8552,70.51999999999998,5.375,6.3,26.4,39.6,23.0,4.4,0.3,2024-05-16_10,2024-05-16
2024-05-17 08:00:05.840290,USIRP25F1=R,2024-06-12,5.35,,5.375,,,,10.0,90.0,,2024-05-17_08,2024-05-17
2024-05-17 08:00:05.840290,USIRP25F2=R,2024-07-31,5.29,24.0,5.375,,,2.4,29.2,68.4,,2024-05-17_08,2024-05-17
2024-05-17 08:00:05.840290,USIRP25F3=R,2024-09-18,5.16,52.0,5.375,,1.2,16.3,49.6,32.8,,2024-05-17_08,2024-05-17
2024-05-17 08:00:05.840290,USIRP25F4=R,2024-11-07,5.0687,36.52,5.375,0.5,6.8,28.5,43.5,20.8,,2024-05-17_08,2024-05-17
2024-05-17 08:00:05.840290,USIRP25F5=R,2024-12-18,4.9169,60.72000000000002,5.375,4.3,19.9,37.6,29.7,8.2,0.3,2024-05-17_08,2024-05-17
2024-05-22 23:00:05.726210,USIRP25F1=R,2024-06-12,5.3625,,5.375,,,,5.0,95.0,,2024-05-22_23,2024-05-22
