created_at,Instrument,GV1_DATE,is_step,case_up,expected_tp,Pcase,GEN_VAL3,3.5,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0,6.25,datehour,date
2023-10-10 16:00:05.932273,USIRP25F1=R,2023-11-01,,True,5.4099,,5.375,,,,,,,,,86.0,14.0,,,2023-10-10_16,2023-10-10
2023-10-10 16:00:05.932273,USIRP25F2=R,2023-12-13,False,True,5.4588,19.536,5.375,,,,,,,,,69.2,28.1,2.7,,2023-10-10_16,2023-10-10
2023-10-10 16:00:05.932273,USIRP25F3=R,2024-01-31,False,False,5.4438,6.0,5.375,,,,,,,,4.2,66.7,26.5,2.6,,2023-10-10_16,2023-10-10
2023-10-10 16:00:05.932273,USIRP25F4=R,2024-03-20,False,False,5.3788,26.0,5.375,,,,,,,1.1,20.4,56.3,20.3,1.9,,2023-10-10_16,2023-10-10
2023-10-10 16:00:05.932273,USIRP25F5=R,2024-05-01,False,False,5.2754,41.332,5.375,,,,,,0.4,9.1,35.2,41.4,12.7,1.1,,2023-10-10_16,2023-10-10
2023-10-10 16:00:05.932273,USIRP25F6=R,2024-06-12,False,False,5.1538,48.648,5.375,,,,,0.2,4.6,21.8,38.2,27.4,7.1,0.6,,2023-10-10_16,2023-10-10
2023-10-10 16:00:05.932273,USIRP25F7=R,2024-07-31,False,False,5.0188,53.99999999999998,5.375,,,,0.1,2.6,13.9,30.7,32.4,16.4,3.6,0.3,,2023-10-10_16,2023-10-10
2023-10-10 16:00:05.932273,USIRP25F8=R,2024-09-18,False,False,4.8688,60.0,5.375,,,0.1,1.6,9.4,24.0,31.7,22.8,8.7,1.6,0.1,,2023-10-10_16,2023-10-10
2023-10-10 16:00:05.932273,USIRP25F9=R,2024-11-07,False,False,4.7253,57.400000000000006,5.375,,0.0,1.0,6.1,17.8,28.4,26.6,14.7,4.6,0.7,0.0,,2023-10-10_16,2023-10-10
2023-10-10 16:00:05.932273,USIRP25F10=R,2024-12-18,False,False,4.5786,58.68000000000001,5.375,,0.6,4.0,12.9,24.0,27.4,19.6,8.8,2.3,0.3,0.0,,2023-10-10_16,2023-10-10
